"","uc_name","stateProvince","municipality","loc.correct","loc.extra"
"39","PARQUE ESTADUAL CAVERNA DO DIABO","São Paulo","Eldorado","brazil_sao paulo_eldorado_pe caverna diabo",""
"47","PARQUE ESTADUAL CAMPOS DO JORDÃO","São Paulo","Campos do Jordão","brazil_sao paulo_campos jordao_pe campos jordao",""
"52","PARQUE ESTADUAL CANTAREIRA","São Paulo","Mairiporã","brazil_sao paulo_mairipora_pe cantareira",""
"53","PARQUE ESTADUAL CANTAREIRA","São Paulo","São Paulo","brazil_sao paulo_sao paulo_pe cantareira",""
"54","PARQUE ESTADUAL CARLOS BOTELHO","São Paulo","Capão Bonito","brazil_sao paulo_capao bonito_pe carlos botelho",""
"55","PARQUE ESTADUAL CARLOS BOTELHO","São Paulo","São Miguel Arcanjo","brazil_sao paulo_sao miguel arcanjo_pe carlos botelho",""
"56","PARQUE ESTADUAL CARLOS BOTELHO","São Paulo","Sete Barras","brazil_sao paulo_sete barras_pe carlos botelho",""
"57","PARQUE ESTADUAL CARLOS BOTELHO","São Paulo","Tapiraí","brazil_sao paulo_tapirai_pe carlos botelho",""
"58","PARQUE ESTADUAL ILHA ANCHIETA","São Paulo","Ubatuba","brazil_sao paulo_ubatuba_pe ilha anchieta",""
"60","PARQUE ESTADUAL JARAGUÁ","São Paulo","São Paulo","brazil_sao paulo_sao paulo_parque estadual jaragua",""
"72","PARQUE ESTADUAL INTERVALES","São Paulo","Ribeirão Grande","brazil_sao paulo_ribeirao grande_parque estadual intervales",""
"73","PARQUE ESTADUAL INTERVALES","São Paulo","Sete Barras","brazil_sao paulo_sete barras_pe intervales",""
"79","PARQUE ESTADUAL MORRO DO DIABO","São Paulo","Teodoro Sampaio","brazil_sao paulo_teodoro sampaio_pe morro diabo",""
"82","PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","São Paulo","Iporanga","brazil_sao paulo_iporanga_pe turistico alto ribeira",""
"104","MONUMENTO NATURAL ESTADUAL PEDRA GRANDE","São Paulo","Atibaia","brazil_sao paulo_atibaia_monumento natural estadual pedra grande",""
"145","PARQUE NATURAL MUNICIPAL NASCENTES DE PARANAPIACABA","São Paulo","Santo André","brazil_sao paulo_santo andre_pnm nascentes paranapiacaba",""
"147","ESTAÇÃO ECOLÓGICA ANGATUBA","São Paulo","Angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba",""
"233","ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO","São Paulo","Teodoro Sampaio","brazil_sao paulo_teodoro sampaio_eec mico leao preto",""
"270","ESTAÇÃO ECOLÓGICA JATAÍ","São Paulo","Luís Antônio","brazil_sao paulo_luis antonio_eec jatai",""
"274","ESTAÇÃO ECOLÓGICA MARÍLIA","São Paulo","Marília","brazil_sao paulo_marilia_eec marilia",""
"276","ESTAÇÃO ECOLÓGICA PAULO DE FARIA","São Paulo","Paulo de Faria","brazil_sao paulo_paulo faria_eec paulo faria",""
"278","ESTAÇÃO ECOLÓGICA CAETETUS","São Paulo","Gália","brazil_sao paulo_galia_eec caetetus",""
"281","ESTAÇÃO ECOLÓGICA RIBEIRÃO PRETO","São Paulo","Ribeirão Preto","brazil_sao paulo_ribeirao preto_eec ribeirao preto",""
"284","PARQUE ESTADUAL VASSUNUNGA","São Paulo","Santa Rita do Passa Quatro","brazil_sao paulo_santa rita passa quatro_pe vassununga",""
"285","ESTAÇÃO ECOLÓGICA CHAÚAS","São Paulo","Iguape","brazil_sao paulo_iguape_eec chauas",""
"286","ESTAÇÃO ECOLÓGICA BANANAL","São Paulo","Bananal","brazil_sao paulo_bananal_eec bananal",""
"287","PARQUE ESTADUAL PORTO FERREIRA","São Paulo","Porto Ferreira","brazil_sao paulo_porto ferreira_pe porto ferreira (antiga reserva estadual porto ferreira)","brazil_sao paulo_porto ferreira_parque estadual porto ferreira"
"288","PARQUE ESTADUAL FURNAS DO BOM JESUS","São Paulo","Pedregulho","brazil_sao paulo_pedregulho_pe furnas bom jesus",""
"289","FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE","São Paulo","Rio Claro","brazil_sao paulo_rio claro_fe edmundo navarro andrade",""
"295","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","São Paulo","Santa Rita do Passa Quatro","brazil_sao paulo_santa rita passa quatro_arie cerrado pe gigante",""
"317","ESTAÇÃO ECOLÓGICA ITAPEVA","São Paulo","Itapeva","brazil_sao paulo_itapeva_estacao ecologica itapeva",""
"318","ESTAÇÃO ECOLÓGICA PARANAPANEMA","São Paulo","Paranapanema","brazil_sao paulo_paranapanema_estacao ecologica paranapanema",""
"320","PARQUE ESTADUAL JUQUERY","São Paulo","Franco da Rocha","brazil_sao paulo_franco rocha_parque estadual juquery",""
"322","RESERVA BIOLÓGICA MOGI-GUAÇU","São Paulo","Mogi Guaçu","brazil_sao paulo_mogi guacu_rebio mogi guacu",""
"324","ESTAÇÃO ECOLÓGICA ITIRAPINA","São Paulo","Itirapina","brazil_sao paulo_itirapina_eec itirapina","brazil_sao paulo_itirapina_estacao ecologica itirapina"
"327","ESTAÇÃO ECOLÓGICA MOGI-GUAÇU","São Paulo","Mogi Guaçu","brazil_sao paulo_mogi guacu_eec mogi guacu",""
"329","ESTAÇÃO ECOLÓGICA SANTA BÁRBARA","São Paulo","Águas de Santa Bárbara","brazil_sao paulo_aguas santa barbara_eec santa barbara",""
"338","ESTAÇÃO ECOLÓGICA IBICATU","São Paulo","Piracicaba","brazil_sao paulo_piracicaba_eec ibicatu",""
"347","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","São Paulo","Iguape","brazil_sao paulo_iguape_eec jureia itatins",""
"351","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","São Paulo","Peruíbe","brazil_sao paulo_peruibe_eec jureia itatins",""
"359","PARQUE ESTADUAL ILHA DO CARDOSO","São Paulo","Cananéia","brazil_sao paulo_cananeia_pe ilha cardoso",""
"610","FLORESTA ESTADUAL ASSIS","São Paulo","Assis","brazil_sao paulo_assis_floresta estadual assis",""
"629","PARQUE ESTADUAL XIXOVÁ-JAPUÍ","São Paulo","São Vicente","brazil_sao paulo_sao vicente_parque estadual xixova japui",""
"645","PARQUE ESTADUAL SERRA DO MAR","São Paulo","Caraguatatuba","brazil_sao paulo_caraguatatuba_pe serra mar","brazil_sao paulo_caraguatatuba_parque estadual serra mar"
"647","PARQUE ESTADUAL SERRA DO MAR","São Paulo","Cunha","brazil_sao paulo_cunha_pe serra mar (nucleo cunha)",""
"648","PARQUE ESTADUAL SERRA DO MAR","São Paulo","Itanhaém","brazil_sao paulo_itanhaem_parque estadual serra mar",""
"654","PARQUE ESTADUAL SERRA DO MAR","São Paulo","Natividade da Serra","brazil_sao paulo_natividade serra_pe serra mar",""
"664","PARQUE ESTADUAL SERRA DO MAR","São Paulo","São Paulo","brazil_sao paulo_sao paulo_parque estadual serra mar",""
"666","PARQUE ESTADUAL SERRA DO MAR","São Paulo","São Vicente","brazil_sao paulo_sao vicente_pe serra mar",""
"667","PARQUE ESTADUAL SERRA DO MAR","São Paulo","Ubatuba","brazil_sao paulo_ubatuba_pe serra mar","brazil_sao paulo_ubatuba_pe serra mar (nucleo picinguaba)"
"673","PARQUE ESTADUAL FONTES DO IPIRANGA","São Paulo","São Paulo","brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo)",""
"674","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DOS PILÕES","São Paulo","Santa Isabel","brazil_sao paulo_santa isabel_rppn rio piloes",""
"678","PARQUE ESTADUAL CAMPINA DO ENCANTADO","São Paulo","Pariquera-Açu","brazil_sao paulo_pariquera acu_pe campina encantado",""
"686","PARQUE NATURAL MUNICIPAL CRATERA DE COLÔNIA","São Paulo","São Paulo","brazil_sao paulo_sao paulo_pnm cratera colonia",""
"707","FLORESTA NACIONAL IPANEMA","São Paulo","Iperó","brazil_sao paulo_ipero_flona ipanema",""
"714","ESTAÇÃO ECOLÓGICA ASSIS","São Paulo","Assis","brazil_sao paulo_assis_eec assis",""
"724","ESTAÇÃO ECOLÓGICA ITABERÁ","São Paulo","Itaberá","brazil_sao paulo_itabera_estacao ecologica itabera",""
